TIENDA_ID,MES_ID,VENTA_TOTAL
813,202404,1042761.16
742,202404,604946.96
436,202404,2486787.81
732,202404,680701.78
282,202404,1227768.82
704,202404,1052094.97
366,202404,989711.94
969,202404,886107.59
983,202404,1084308.39
979,202404,1055111.20
363,202404,1149534.98
999,202404,846293.02
208,202404,1299321.37
250,202404,2019799.45
48,202404,1102625.89
498,202404,750797.40
669,202404,1464887.56
707,202404,1135168.38
789,202404,805440.86
168,202404,1314623.03
539,202404,1398000.78
970,202404,959735.17
133,202404,1150949.37
589,202404,1233801.88
399,202404,885972.48
197,202404,1051474.70
131,202404,930617.22
92,202404,1727776.39
451,202404,770497.16
557,202404,1513854.08
988,202404,1531047.72
452,202404,869599.47
400,202404,831299.01
817,202404,769182.56
1038,202404,946015.78
450,202404,1208747.34
662,202404,1858795.84
814,202404,1625847.68
71,202404,667738.25
839,202404,960937.26
445,202404,1823109.38
287,202404,2324462.64
249,202405,1687745.48
774,202405,1370903.48
380,202405,1178024.41
316,202405,2231681.58
597,202405,1341724.66
284,202405,3342613.11
241,202405,1139751.18
702,202405,1175130.66
916,202405,3424863.18
894,202405,1647546.36
647,202405,1380019.10
858,202405,333479.52
204,202405,2939543.98
59,202412,386768.03
250,202412,765178.84
366,202412,420136.66
796,202412,320766.10
872,202412,230237.36
1047,202411,1350341.40
1000,202411,1001791.14
210,202412,783031.99
649,202411,678876.63
317,202404,1330124.21
744,202404,654218.90
548,202404,1150010.15
350,202404,1538918.71
217,202404,1284279.70
409,202404,847674.78
778,202404,1165748.54
334,202404,1668777.35
469,202404,998179.87
1018,202404,1602447.33
254,202404,1011039.38
339,202404,1483649.75
218,202404,2419863.55
166,202404,1090081.05
466,202404,444209.96
646,202404,524288.39
771,202404,962292.49
52,202404,739476.61
846,202404,510410.55
346,202404,1727578.43
619,202404,704641.60
783,202404,907179.48
83,202404,1120187.74
558,202404,664100.29
251,202404,1417553.66
849,202405,675470.46
694,202405,1420999.22
474,202405,924163.14
66,202405,1516654.13
266,202405,680951.85
906,202405,2566325.07
86,202405,1917790.99
117,202405,616161.15
713,202405,1620653.69
672,202405,1677161.16
682,202405,1184104.71
443,202405,1662993.51
2,202405,1140719.77
195,202405,885950.18
54,202405,1242002.54
885,202405,1269568.96
793,202405,755966.08
285,202405,2426458.27
10,202405,669062.13
40,202405,2282472.88
288,202405,988856.41
143,202405,1146977.39
842,202405,629879.59
850,202405,450058.14
373,202405,1339554.76
555,202405,1412484.71
902,202405,921965.82
357,202405,1220375.92
945,202412,625641.82
404,202412,612022.96
82,202412,680742.33
431,202412,450296.44
92,202412,673454.51
530,202412,390709.63
542,202412,448476.24
740,202412,356391.27
987,202412,427223.24
994,202412,552030.23
449,202412,501129.53
434,202412,336957.22
553,202412,417478.51
563,202412,467506.67
571,202412,765614.82
603,202412,293594.51
693,202412,246106.48
789,202412,334211.64
826,202412,246969.80
681,202412,352343.14
752,202412,531034.35
813,202412,569610.74
189,202412,490374.36
812,202412,259730.92
622,202412,309508.86
408,202411,1612946.41
564,202411,1019147.62
763,202411,326782.26
385,202411,1387991.58
380,202411,1037992.64
707,202405,1338712.89
779,202405,1190827.83
616,202412,279317.33
501,202411,1004930.88
491,202411,1046994.09
582,202411,864521.91
511,202411,720643.18
28,202411,915200.13
288,202411,886435.51
919,202411,1845898.43
885,202406,1123796.99
507,202406,1903006.41
650,202406,1131207.31
424,202406,904398.27
470,202406,894711.53
533,202406,828950.02
171,202406,1020585.52
704,202406,991247.21
787,202406,936448.52
234,202406,1707922.22
315,202406,1231745.03
206,202406,1209986.90
532,202406,674348.20
341,202406,1437729.30
