TIENDA_ID,VENTA_TOTAL,Meta_venta,MTS2VENTAS_NUM,PUERTASREFRIG_NUM,CAJONESESTACIONAMIENTO_NUM,LATITUD_NUM,LONGITUD_NUM,PLAZA_CVE,NIVELSOCIOECONOMICO_DES,ENTORNO_DES,SEGMENTO_MAESTRO_DESC,LID_UBICACION_TIENDA,EXITO,PCT_CUMPLIMIENTO
1,708027.569047619,490000.0,109.85786697569884,12.146749226006191,0.0,26.00177,-98.24284,2.0,C,Hogar,Hogar Reunión,UT_DENSIDAD,1,144.49542225461613
2,899474.1304761906,490000.0,109.85786697569884,12.146749226006191,0.0,26.04198,-98.3562,2.0,C,Hogar,Hogar Reunión,UT_DENSIDAD,1,183.5661490767736
3,827487.1057142856,490000.0,109.85786697569884,12.146749226006191,0.0,26.02464,-98.26098,2.0,C,Hogar,Hogar Reunión,UT_DENSIDAD,1,168.8749195335277
4,1247370.1909523811,490000.0,109.85786697569884,12.146749226006191,0.0,26.04326,-98.23851,2.0,A,Hogar,Hogar Reunión,UT_DENSIDAD,1,254.5653450923227
5,1596266.5033333334,490000.0,109.85786697569884,12.146749226006191,0.0,26.06397,-98.26165,2.0,C,Hogar,Hogar Reunión,UT_DENSIDAD,1,325.7686741496599
6,656530.3366666667,490000.0,109.85786697569884,12.146749226006191,0.0,26.02745,-98.35609,2.0,C,Hogar,Hogar Reunión,UT_DENSIDAD,1,133.9857829931973
7,887061.4404761905,490000.0,109.85786697569884,12.146749226006191,0.0,26.08957,-98.33238,2.0,C,Hogar,Hogar Reunión,UT_DENSIDAD,1,181.03294703595725
8,944243.3,480000.0,109.85786697569884,12.179775280898877,0.0,26.04768,-98.2894,2.0,C,Base,Hogar Reunión,UT_TRAFICO_VEHICULAR,1,196.71735416666667
9,1433065.7142857143,490000.0,109.85786697569884,12.146749226006191,0.0,26.01405,-98.39384,2.0,C,Hogar,Hogar Reunión,UT_DENSIDAD,1,292.46239067055393
11,597581.770952381,490000.0,109.85786697569884,12.146749226006191,0.0,26.00828,-98.40705,2.0,C,Hogar,Hogar Reunión,UT_DENSIDAD,1,121.95546345966959
12,950205.5414285715,490000.0,109.85786697569884,12.146749226006191,0.0,25.99668,-98.26116,2.0,C,Hogar,Hogar Reunión,UT_DENSIDAD,1,193.91949825072888
